"IdClient","GroupeClient","NomClient","CategorieNomClient","ContactPrincipal","Telephone","SiteWeb","MethodeLivraison","VilleEtat"
"51","Jouets à queue","Jouets Tailspin (Imlaystown, New Jersey)","Boutique de nouveautés","Dipali Sonkar","(201) 555-0100","http://www.tailspintoys.com/Imlaystown","Voiture de livraison","Imlaystown (New Jersey)"
"52","Jouets à queue","Jouets Tailspin (Idria, Californie)","Boutique de nouveautés","Bansidhar Mitra","(209) 555-0100","http://www.tailspintoys.com/Idria","Voiture de livraison","Idria (Californie)"
"53","Jouets à queue","Jouets Tailspin (Nanafalia, AL)","Boutique de nouveautés","Gunnar Persson","(205) 555-0100","http://www.tailspintoys.com/Nanafalia","Voiture de livraison","Nanafalia (Alabama)"
"54","Jouets à queue","Jouets Tailspin (Chemin de fer, Pennsylvanie)","Boutique de nouveautés","Vitezslav Rehak","(215) 555-0100","http://www.tailspintoys.com/Railroad","Voiture de livraison","Chemin de fer (Pennsylvanie)"
"55","Jouets à queue","Jouets Tailspin (Gum Branch, Géorgie)","Boutique de nouveautés","Bharat Sikdar","(229) 555-0100","http://www.tailspintoys.com/GumBranch","Voiture de livraison","Branche de gomme (Géorgie)"
"56","Jouets à queue","Jouets Tailspin (Royal City, Washington)","Boutique de nouveautés","Juan Bezanson","(206) 555-0100","http://www.tailspintoys.com/RoyalCity","Voiture de livraison","Ville royale (Washington)"
"57","Jouets à queue","Jouets Tailspin (Lakemore, OH)","Boutique de nouveautés","Aile Mae","(216) 555-0100","http://www.tailspintoys.com/Lakemore","Voiture de livraison","Lakemore (Ohio)"
"58","Jouets à queue","Jouets Tailspin (Mappsburg, Virginie)","Boutique de nouveautés","Pratap Varghèse","(276) 555-0100","http://www.tailspintoys.com/Mappsburg","Voiture de livraison","Mappsburg (Virginie)"
"59","Jouets à queue","Jouets Tailspin (Edgartown, MA)","Boutique de nouveautés","Margita Kopecka","(339) 555-0100","http://www.tailspintoys.com/Edgartown","Voiture de livraison","Edgartown (Massachusetts[E])"
"60","Jouets à queue","Jouets Tailspin (East Dailey, Virginie-Occidentale)","Boutique de nouveautés","Lekha Mitra","(304) 555-0100","http://www.tailspintoys.com/EastDailey","Voiture de livraison","East Dailey (Virginie occidentale)"
"61","Jouets à queue","Jouets Tailspin (Fairfield Glade, Tennessee)","Boutique de nouveautés","Abhoy Prabhupāda","(423) 555-0100","http://www.tailspintoys.com/FairfieldGlade","Voiture de livraison","Fairfield Glade (Tennessee)"
"62","Jouets à queue","Jouets Tailspin (Great Neck Estates, État de New York)","Boutique de nouveautés","Alida Caune","(212) 555-0100","http://www.tailspintoys.com/GreatNeckEstates","Voiture de livraison","Domaines Great Neck (New York)"
"63","Jouets à queue","Jouets Tailspin (Stallion Springs, Californie)","Boutique de nouveautés","Agnès Szolosy","(209) 555-0100","http://www.tailspintoys.com/StallionSprings","Voiture de livraison","Stallion Springs (Californie)"
"64","Jouets à queue","Jouets Tailspin (Hodgdon, ME)","Boutique de nouveautés","Rohana Kaskar","(207) 555-0100","http://www.tailspintoys.com/Hodgdon","Voiture de livraison","Hodgdon (Maine)"
"65","Jouets à queue","Jouets Tailspin (North Cowden, Texas)","Boutique de nouveautés","Hanuman Dubey","(210) 555-0100","http://www.tailspintoys.com/NorthCowden","Voiture de livraison","Cowden Nord (Texas)"
"66","Jouets à queue","Jouets Tailspin (Madaket, MA)","Boutique de nouveautés","Bao Dao","(339) 555-0100","http://www.tailspintoys.com/Madaket","Voiture de livraison","Madaket (Massachusetts[E])"
"67","Jouets à queue","Jouets Tailspin (Sentinel Butte, ND)","Boutique de nouveautés","Preyakshna Aluri","(701) 555-0100","http://www.tailspintoys.com/SentinelButte","Voiture de livraison","Sentinel Butte (Dakota du Nord)"
"68","Jouets à queue","Jouets Tailspin (Gardère, LA)","Boutique de nouveautés","Valentina Conti","(225) 555-0100","http://www.tailspintoys.com/Gardere","Voiture de livraison","Gardere (Louisiane)"
"69","Jouets à queue","Jouets Tailspin (Lytle Creek, Californie)","Boutique de nouveautés","Théodore Saucier","(209) 555-0100","http://www.tailspintoys.com/LytleCreek","Voiture de livraison","Lytle Creek (Californie)"
"70","Jouets à queue","Jouets Tailspin (New Baden, Illinois)","Boutique de nouveautés","Mariana Fierro","(217) 555-0100","http://www.tailspintoys.com/NewBaden","Voiture de livraison","Nouveau-Baden (Illinois)"
"71","Jouets à queue","Jouets Tailspin (Good Hart, Michigan)","Boutique de nouveautés","Afchin Djalili","(231) 555-0100","http://www.tailspintoys.com/GoodHart","Voiture de livraison","Bon Hart (Michigan)"
"72","Jouets à queue","Jouets Tailspin (Cortaro, Arizona)","Boutique de nouveautés","Bianh Phan","(480) 555-0100","http://www.tailspintoys.com/Cortaro","Voiture de livraison","Cortaro (Arizona)"
"73","Jouets à queue","Jouets Tailspin (Cokato, Minnesota)","Boutique de nouveautés","Koknèse Vitols","(218) 555-0100","http://www.tailspintoys.com/Cokato","Voiture de livraison","Cokato (Minnesota)"
"74","Jouets à queue","Jouets Tailspin (Indios, PR)","Boutique de nouveautés","Roxane Rastgu","(787) 555-0100","http://www.tailspintoys.com/Indios","Voiture de livraison","Indios (Porto Rico - Territoire des États-Unis)"
"75","Jouets à queue","Jouets Tailspin (Windsor Locks, CT)","Boutique de nouveautés","Vlasta Srbova","(203) 555-0100","http://www.tailspintoys.com/WindsorLocks","Voiture de livraison","Écluses de Windsor (Connecticut)"
"76","Jouets à queue","Jouets Tailspin (Yewed, OK)","Boutique de nouveautés","Lata Babu","(405) 555-0100","http://www.tailspintoys.com/Yewed","Voiture de livraison","If (Oklahoma)"
"77","Jouets à queue","Jouets Tailspin (Hahira, Géorgie)","Boutique de nouveautés","Airi Vassiljev","(229) 555-0100","http://www.tailspintoys.com/Hahira","Voiture de livraison","Hahira (Géorgie)"
"78","Jouets à queue","Jouets Tailspin (Sekiu, WA)","Boutique de nouveautés","Duleep Walia","(206) 555-0100","http://www.tailspintoys.com/Sekiu","Voiture de livraison","Sekiu (Washington)"
"79","Jouets à queue","Jouets Tailspin (Page City, Kansas)","Boutique de nouveautés","Mathias Macek","(316) 555-0100","http://www.tailspintoys.com/PageCity","Voiture de livraison","Ville de Page (Kansas)"
"80","Jouets à queue","Jouets Tailspin (Valdese, Caroline du Nord)","Boutique de nouveautés","Bharat Ankitham","(252) 555-0100","http://www.tailspintoys.com/Valdese","Voiture de livraison","Valdese (Caroline du Nord)"
"81","Jouets à queue","Jouets Tailspin (Big Moose, État de New York)","Boutique de nouveautés","Véra Koubatova","(212) 555-0100","http://www.tailspintoys.com/BigMoose","Voiture de livraison","Gros élan (New York)"
"82","Jouets à queue","Jouets Tailspin (La Cueva, Nouveau-Mexique)","Boutique de nouveautés","Rakesh Nishad","(505) 555-0100","http://www.tailspintoys.com/LaCueva","Voiture de livraison","La Cueva (Nouveau Mexique)"
"83","Jouets à queue","Jouets Tailspin (Absecon, New Jersey)","Boutique de nouveautés","Sang Tran","(201) 555-0100","http://www.tailspintoys.com/Absecon","Voiture de livraison","Absecon (New Jersey)"
"84","Jouets à queue","Jouets Tailspin (Aceitunas, PR)","Boutique de nouveautés","Eekalabya ​​Bose","(787) 555-0100","http://www.tailspintoys.com/Aceitunas","Voiture de livraison","Aceitunas (Porto Rico - Territoire des États-Unis)"
"85","Jouets à queue","Jouets Tailspin (Andrix, Colorado)","Boutique de nouveautés","Tommy Kilpi","(303) 555-0100","http://www.tailspintoys.com/Andrix","Voiture de livraison","Andrix (Colorado)"
"86","Jouets à queue","Jouets Tailspin (New Lexington, OH)","Boutique de nouveautés","Andrea Ricci","(216) 555-0100","http://www.tailspintoys.com/NewLexington","Voiture de livraison","Nouveau Lexington (Ohio)"
"87","Jouets à queue","Jouets Tailspin (Sauquoit, État de New York)","Boutique de nouveautés","Isabelle Duperré","(212) 555-0100","http://www.tailspintoys.com/Sauquoit","Voiture de livraison","Sauquoit (New York)"
"88","Jouets à queue","Jouets Tailspin (Dracut, MA)","Boutique de nouveautés","Amarendra Ankitham","(339) 555-0100","http://www.tailspintoys.com/Dracut","Voiture de livraison","Dracut (Massachusetts[E])"
"89","Jouets à queue","Jouets Tailspin (Victory Gardens, NJ)","Boutique de nouveautés","Aakarsha Nookala","(201) 555-0100","http://www.tailspintoys.com/VictoryGardens","Voiture de livraison","Jardins de la Victoire (New Jersey)"
"90","Jouets à queue","Jouets Tailspin (Tolna, ND)","Boutique de nouveautés","Stanislav Sedlar","(701) 555-0100","http://www.tailspintoys.com/Tolna","Voiture de livraison","Tolna (Dakota du Nord)"
"91","Jouets à queue","Jouets Tailspin (Alstead, NH)","Boutique de nouveautés","GokCe Karaca","(603) 555-0100","http://www.tailspintoys.com/Alstead","Voiture de livraison","Alstead (New Hampshire)"
"92","Jouets à queue","Jouets Tailspin (Sans Souci, Caroline du Sud)","Boutique de nouveautés","Coralie Émond","(803) 555-0100","http://www.tailspintoys.com/SansSouci","Voiture de livraison","Sans Souci (Caroline du Sud)"
"93","Jouets à queue","Jouets Tailspin (Clewiston, Floride)","Boutique de nouveautés","Karine Celmina","(239) 555-0100","http://www.tailspintoys.com/Clewiston","Voiture de livraison","Clewiston (Floride)"
"94","Jouets à queue","Jouets Tailspin (Cheyenne Wells, Colorado)","Boutique de nouveautés","Thérèse Pisani","(303) 555-0100","http://www.tailspintoys.com/CheyenneWells","Voiture de livraison","Cheyenne Wells (Colorado)"
"95","Jouets à queue","Jouets Tailspin (Lavon, Texas)","Boutique de nouveautés","Alba Ponce","(210) 555-0100","http://www.tailspintoys.com/Lavon","Voiture de livraison","Lavon (Texas)"
"96","Jouets à queue","Jouets Tailspin (Sud de La Paloma, Texas)","Boutique de nouveautés","Piper Leigh","(210) 555-0100","http://www.tailspintoys.com/SouthLaPaloma","Voiture de livraison","Sud de La Paloma (Texas)"
"97","Jouets à queue","Jouets Tailspin (Manchester Center, Vermont)","Boutique de nouveautés","Karie Seymour","(802) 555-0100","http://www.tailspintoys.com/ManchesterCenter","Voiture de livraison","Manchester Centre (Vermont)"
"98","Jouets à queue","Jouets Tailspin (El Centro, Californie)","Boutique de nouveautés","Timea Peto","(209) 555-0100","http://www.tailspintoys.com/ElCentro","Voiture de livraison","El Centro (Californie)"
"99","Jouets à queue","Jouets Tailspin (Guin, AL)","Boutique de nouveautés","Victoria Ene","(205) 555-0100","http://www.tailspintoys.com/Guin","Voiture de livraison","Guin (Alabama)"
"100","Jouets à queue","Jouets Tailspin (Tunnelhill, Pennsylvanie)","Boutique de nouveautés","Bhavani Bhowmick","(215) 555-0100","http://www.tailspintoys.com/Tunnelhill","Voiture de livraison","Tunnelhill (Pennsylvanie)"
"101","Jouets à queue","Jouets Tailspin (Cundiyo, Nouveau-Mexique)","Boutique de nouveautés","Yasmine Berggren","(505) 555-0100","http://www.tailspintoys.com/Cundiyo","Voiture de livraison","Cundiyo (Nouveau Mexique)"
"102","Jouets à queue","Jouets Tailspin (Fieldbrook, Californie)","Boutique de nouveautés","Thé Koppel","(209) 555-0100","http://www.tailspintoys.com/Fieldbrook","Voiture de livraison","Fieldbrook (Californie)"
"103","Jouets à queue","Jouets Tailspin (Kalvesta, KS)","Boutique de nouveautés","Naseem Radan","(316) 555-0100","http://www.tailspintoys.com/Kalvesta","Voiture de livraison","Kalvesta (Kansas)"
"104","Jouets à queue","Jouets Tailspin (Wallagrass, ME)","Boutique de nouveautés","Laboni Deb","(207) 555-0100","http://www.tailspintoys.com/Wallagrass","Voiture de livraison","Herbe murale (Maine)"
"105","Jouets à queue","Jouets Tailspin (Tomnolen, MS)","Boutique de nouveautés","Sung-Hwan Hwang","(228) 555-0100","http://www.tailspintoys.com/Tomnolen","Voiture de livraison","Tomnolen (Mississippi)"
"106","Jouets à queue","Jouets Tailspin (Tumacacori, Arizona)","Boutique de nouveautés","Shiva pipalia","(480) 555-0100","http://www.tailspintoys.com/Tumacacori","Voiture de livraison","Tumacacori (Arizona)"
"107","Jouets à queue","Jouets Tailspin (Glen Avon, Californie)","Boutique de nouveautés","Karie Mercier","(209) 555-0100","http://www.tailspintoys.com/GlenAvon","Voiture de livraison","Glen Avon (Californie)"
"108","Jouets à queue","Jouets Tailspin (Bernie, MO)","Boutique de nouveautés","Bhanu Thota","(314) 555-0100","http://www.tailspintoys.com/Bernie","Voiture de livraison","Bernie (Missouri)"
"109","Jouets à queue","Jouets Tailspin (South Laguna, Californie)","Boutique de nouveautés","Ae-Cha Joo","(209) 555-0100","http://www.tailspintoys.com/SouthLaguna","Voiture de livraison","South Laguna (Californie)"
"110","Jouets à queue","Jouets Tailspin (North Crows Nest, IN)","Boutique de nouveautés","Dinara Saparkyzy","(219) 555-0100","http://www.tailspintoys.com/NorthCrowsNest","Voiture de livraison","Nid de Corbeaux du Nord (Indiana)"
"111","Jouets à queue","Jouets Tailspin (Oriole Beach, Floride)","Boutique de nouveautés","Adam Dvořák","(239) 555-0100","http://www.tailspintoys.com/OrioleBeach","Voiture de livraison","Oriole Beach (Floride)"
"112","Jouets à queue","Jouets Tailspin (Sallyards, KS)","Boutique de nouveautés","Ingrida Celmina","(316) 555-0100","http://www.tailspintoys.com/Sallyards","Voiture de livraison","Salaires (Kansas)"
"113","Jouets à queue","Jouets Tailspin (Dahlia, Nouveau-Mexique)","Boutique de nouveautés","Jae-Hwa Jang","(505) 555-0100","http://www.tailspintoys.com/Dahlia","Voiture de livraison","Dahlia (Nouveau Mexique)"
"114","Jouets à queue","Jouets Tailspin (Cherry Grove Beach, Caroline du Sud)","Boutique de nouveautés","Canard-Hwan Bae","(803) 555-0100","http://www.tailspintoys.com/CherryGroveBeach","Voiture de livraison","Cherry Grove Beach (Caroline du Sud)"
"115","Jouets à queue","Jouets Tailspin (Bethania, Caroline du Nord)","Boutique de nouveautés","Jagoda Vasiljevic","(252) 555-0100","http://www.tailspintoys.com/Bethania","Voiture de livraison","Bethania (Caroline du Nord)"
"116","Jouets à queue","Jouets Tailspin (Rafael Capó, PR)","Boutique de nouveautés","Toma Nastase","(787) 555-0100","http://www.tailspintoys.com/RafaelCapó","Voiture de livraison","Rafael Capó (Porto Rico - Territoire des États-Unis)"
"117","Jouets à queue","Jouets Tailspin (Scofield, UT)","Boutique de nouveautés","Valério Cardoso","(385) 555-0100","http://www.tailspintoys.com/Scofield","Voiture de livraison","Scofield (Utah)"
"118","Jouets à queue","Jouets Tailspin (Vassalboro, ME)","Boutique de nouveautés","Ileana Aguilar","(207) 555-0100","http://www.tailspintoys.com/Vassalboro","Voiture de livraison","Vassalboro (Maine)"
"119","Jouets à queue","Jouets Tailspin (Statenville, Géorgie)","Boutique de nouveautés","Tjasa Weitzer","(229) 555-0100","http://www.tailspintoys.com/Statenville","Voiture de livraison","Statenville (Géorgie)"
"120","Jouets à queue","Jouets Tailspin (Bratenahl, OH)","Boutique de nouveautés","Lucas Van Veenen","(216) 555-0100","http://www.tailspintoys.com/Bratenahl","Voiture de livraison","Bratenahl (Ohio)"
"121","Jouets à queue","Jouets Tailspin (Elrosa, Minnesota)","Boutique de nouveautés","Steven Frasier","(218) 555-0100","http://www.tailspintoys.com/Elrosa","Voiture de livraison","Elrosa (Minnesota)"
"122","Jouets à queue","Jouets Tailspin (McClave, Colorado)","Boutique de nouveautés","Mauri Enestam","(303) 555-0100","http://www.tailspintoys.com/McClave","Voiture de livraison","McClave (Colorado)"
"123","Jouets à queue","Jouets Tailspin (Roe Park, État de New York)","Boutique de nouveautés","Ella Zvirbule","(212) 555-0100","http://www.tailspintoys.com/RoePark","Voiture de livraison","Parc Roe (New York)"
"124","Jouets à queue","Jouets Tailspin (Hanoverton, Ohio)","Boutique de nouveautés","Sevim Aydın","(216) 555-0100","http://www.tailspintoys.com/Hanoverton","Voiture de livraison","Hanoverton (Ohio)"
"125","Jouets à queue","Jouets Tailspin (Annamoriah, Virginie-Occidentale)","Boutique de nouveautés","Blanka Stavinohova","(304) 555-0100","http://www.tailspintoys.com/Annamoriah","Voiture de livraison","Annamoriah (Virginie occidentale)"
"126","Jouets à queue","Jouets Tailspin (Francis Mills, NJ)","Boutique de nouveautés","Akanksha Iyengar","(201) 555-0100","http://www.tailspintoys.com/FrancisMills","Voiture de livraison","Francis Mills (New Jersey)"
"127","Jouets à queue","Jouets Tailspin (Point Roberts, Washington)","Boutique de nouveautés","Kertu Smirnov","(206) 555-0100","http://www.tailspintoys.com/PointRoberts","Voiture de livraison","Point Roberts (Washington)"
"128","Jouets à queue","Jouets Tailspin (East Portal, CO)","Boutique de nouveautés","Jure Grabensek","(303) 555-0100","http://www.tailspintoys.com/EastPortal","Voiture de livraison","Portail Est (Colorado)"
"129","Jouets à queue","Jouets Tailspin (Mineral Hills, Michigan)","Boutique de nouveautés","Javiera Madera","(231) 555-0100","http://www.tailspintoys.com/MineralHills","Voiture de livraison","Collines minérales (Michigan)"
"130","Jouets à queue","Jouets Tailspin (Maple Shade, NJ)","Boutique de nouveautés","Aija Mottola","(201) 555-0100","http://www.tailspintoys.com/MapleShade","Voiture de livraison","Ombre d'érable (New Jersey)"
"131","Jouets à queue","Jouets Tailspin (Kwethluk, AK)","Boutique de nouveautés","Darshan Gupta","(907) 555-0100","http://www.tailspintoys.com/Kwethluk","Voiture de livraison","Kwethluk (Alaska)"
